data/sim_graphs/g5,"9",36.812
data/sim_graphs/g5,"9,5",60.818
data/sim_graphs/g5,"9,5,13",77.954
data/sim_graphs/g5,"9,5,13,10",91.098
data/sim_graphs/g5,"9,5,13,10,1",100.195
data/sim_graphs/g5,"9,5,13,10,1,8",108.394
data/sim_graphs/g5,"9,5,13,10,1,8,4",115.458
data/sim_graphs/g5,"9,5,13,10,1,8,4,15",121.694
data/sim_graphs/g5,"9,5,13,10,1,8,4,15,7",126.655
data/sim_graphs/g5,"9,5,13,10,1,8,4,15,7,39",130.909
data/sim_graphs/g13,"6",40.108
data/sim_graphs/g13,"6,8",60.05
data/sim_graphs/g13,"6,8,5",75.117
data/sim_graphs/g13,"6,8,5,9",86.321
data/sim_graphs/g13,"6,8,5,9,10",95.982
data/sim_graphs/g13,"6,8,5,9,10,51",104.712
data/sim_graphs/g13,"6,8,5,9,10,51,4",111.047
data/sim_graphs/g13,"6,8,5,9,10,51,4,21",116.399
data/sim_graphs/g13,"6,8,5,9,10,51,4,21,2",121.309
data/sim_graphs/g13,"6,8,5,9,10,51,4,21,2,16",126.847
data/sim_graphs/g26,"5",47.374
data/sim_graphs/g26,"5,13",75.135
data/sim_graphs/g26,"5,13,9",96.632
data/sim_graphs/g26,"5,13,9,10",111.811
data/sim_graphs/g26,"5,13,9,10,8",124.415
data/sim_graphs/g26,"5,13,9,10,8,1",136.22
data/sim_graphs/g26,"5,13,9,10,8,1,19",143.448
data/sim_graphs/g26,"5,13,9,10,8,1,19,6",148.487
data/sim_graphs/g26,"5,13,9,10,8,1,19,6,68",153.666
data/sim_graphs/g26,"5,13,9,10,8,1,19,6,68,7",158.572
data/sim_graphs/g28,"6",36.052
data/sim_graphs/g28,"6,5",55.531
data/sim_graphs/g28,"6,5,8",70.727
data/sim_graphs/g28,"6,5,8,21",81.157
data/sim_graphs/g28,"6,5,8,21,9",90.19
data/sim_graphs/g28,"6,5,8,21,9,51",99.511
data/sim_graphs/g28,"6,5,8,21,9,51,10",106.703
data/sim_graphs/g28,"6,5,8,21,9,51,10,25",111.15
data/sim_graphs/g28,"6,5,8,21,9,51,10,25,16",115.601
data/sim_graphs/g28,"6,5,8,21,9,51,10,25,16,13",119.71
data/sim_graphs/g16,"5",34.6
data/sim_graphs/g16,"5,13",54.948
data/sim_graphs/g16,"5,13,1",67.772
data/sim_graphs/g16,"5,13,1,9",79.83
data/sim_graphs/g16,"5,13,1,9,8",88.536
data/sim_graphs/g16,"5,13,1,9,8,7",95.005
data/sim_graphs/g16,"5,13,1,9,8,7,15",101.312
data/sim_graphs/g16,"5,13,1,9,8,7,15,10",106.2
data/sim_graphs/g16,"5,13,1,9,8,7,15,10,4",111.265
data/sim_graphs/g16,"5,13,1,9,8,7,15,10,4,16",115.829
data/sim_graphs/g12,"5",40.619
data/sim_graphs/g12,"5,13",64.85
data/sim_graphs/g12,"5,13,9",82.162
data/sim_graphs/g12,"5,13,9,1",95.882
data/sim_graphs/g12,"5,13,9,1,15",106.092
data/sim_graphs/g12,"5,13,9,1,15,10",113.717
data/sim_graphs/g12,"5,13,9,1,15,10,8",121.593
data/sim_graphs/g12,"5,13,9,1,15,10,8,4",126.963
data/sim_graphs/g12,"5,13,9,1,15,10,8,4,7",132.787
data/sim_graphs/g12,"5,13,9,1,15,10,8,4,7,39",137.11
data/sim_graphs/g0,"5",34.668
data/sim_graphs/g0,"5,9",59.083
data/sim_graphs/g0,"5,9,13",76.543
data/sim_graphs/g0,"5,9,13,1",87.849
data/sim_graphs/g0,"5,9,13,1,8",97.635
data/sim_graphs/g0,"5,9,13,1,8,10",105.466
data/sim_graphs/g0,"5,9,13,1,8,10,15",110.337
data/sim_graphs/g0,"5,9,13,1,8,10,15,7",117.429
data/sim_graphs/g0,"5,9,13,1,8,10,15,7,6",121.165
data/sim_graphs/g0,"5,9,13,1,8,10,15,7,6,59",124.808
data/sim_graphs/g18,"6",41.571
data/sim_graphs/g18,"6,8",59.989
data/sim_graphs/g18,"6,8,5",74.416
data/sim_graphs/g18,"6,8,5,9",86.772
data/sim_graphs/g18,"6,8,5,9,21",97.383
data/sim_graphs/g18,"6,8,5,9,21,51",104.623
data/sim_graphs/g18,"6,8,5,9,21,51,0",110.867
data/sim_graphs/g18,"6,8,5,9,21,51,0,25",116.598
data/sim_graphs/g18,"6,8,5,9,21,51,0,25,11",121.447
data/sim_graphs/g18,"6,8,5,9,21,51,0,25,11,2",127.421
data/sim_graphs/g19,"5",35.719
data/sim_graphs/g19,"5,13",57.256
data/sim_graphs/g19,"5,13,9",74.145
data/sim_graphs/g19,"5,13,9,1",86.561
data/sim_graphs/g19,"5,13,9,1,15",93.658
data/sim_graphs/g19,"5,13,9,1,15,10",101.363
data/sim_graphs/g19,"5,13,9,1,15,10,8",108.205
data/sim_graphs/g19,"5,13,9,1,15,10,8,4",114.34
data/sim_graphs/g19,"5,13,9,1,15,10,8,4,22",119.445
data/sim_graphs/g19,"5,13,9,1,15,10,8,4,22,18",123.586
data/sim_graphs/g8,"5",44.026
data/sim_graphs/g8,"5,13",71.966
data/sim_graphs/g8,"5,13,9",90.332
data/sim_graphs/g8,"5,13,9,10",102.363
data/sim_graphs/g8,"5,13,9,10,1",112.813
data/sim_graphs/g8,"5,13,9,10,1,8",121.914
data/sim_graphs/g8,"5,13,9,10,1,8,15",130.552
data/sim_graphs/g8,"5,13,9,10,1,8,15,3",136.975
data/sim_graphs/g8,"5,13,9,10,1,8,15,3,7",141.865
data/sim_graphs/g8,"5,13,9,10,1,8,15,3,7,19",146.493
data/sim_graphs/g10,"5",44.138
data/sim_graphs/g10,"5,13",73.38
data/sim_graphs/g10,"5,13,9",94.187
data/sim_graphs/g10,"5,13,9,8",108.862
data/sim_graphs/g10,"5,13,9,8,10",121.801
data/sim_graphs/g10,"5,13,9,8,10,1",131.318
data/sim_graphs/g10,"5,13,9,8,10,1,15",141.075
data/sim_graphs/g10,"5,13,9,8,10,1,15,12",147.373
data/sim_graphs/g10,"5,13,9,8,10,1,15,12,3",152.77
